fil,X,Y,Z,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
1,706,1570,175,-78.90510926076323,10.277740963492777,78.46655338422862,15.485979070890679,-74.51402092910932,-0.9636958206261486
1,710,1539,169,-78.90510926076323,10.277740963492777,78.46655338422862,15.485979070890679,-74.51402092910932,-0.9636958206261486
1,716,1506,158,-78.90510926076323,10.277740963492777,78.46655338422862,15.485979070890679,-74.51402092910932,-0.9636958206261486
1,722,1493,161,-78.90510926076323,10.277740963492777,78.46655338422862,15.485979070890679,-74.51402092910932,-0.9636958206261486
2,722,1532,161,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
2,759,1524,161,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
2,803,1514,161,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
2,840,1507,166,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
2,880,1494,166,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
2,912,1488,155,-13.040750130112869,1.763248550432101,194.99743588057768,52.21405589721472,-37.78594410278528,-0.6127131930520962
3,890,1485,166,-85.60129464500442,-0.0,26.076809620810597,20.381261626930637,-69.61873837306936,-0.9373959385649886
3,892,1459,166,-85.60129464500442,-0.0,26.076809620810597,20.381261626930637,-69.61873837306936,-0.9373959385649886
4,607,1624,237,-9.080025839254573,38.4602951816455,107.72186407596185,60.891259282463324,-29.108740717536673,-0.4864686724736231
4,655,1615,207,-9.080025839254573,38.4602951816455,107.72186407596185,60.891259282463324,-29.108740717536673,-0.4864686724736231
4,673,1614,195,-9.080025839254573,38.4602951816455,107.72186407596185,60.891259282463324,-29.108740717536673,-0.4864686724736231
4,702,1610,177,-9.080025839254573,38.4602951816455,107.72186407596185,60.891259282463324,-29.108740717536673,-0.4864686724736231
4,714,1607,170,-9.080025839254573,38.4602951816455,107.72186407596185,60.891259282463324,-29.108740717536673,-0.4864686724736231
5,780,1511,143,-39.98266954250763,6.416138786612726,71.58910531638176,25.755782022213058,-64.24421797778695,-0.900654392551987
5,797,1495,139,-39.98266954250763,6.416138786612726,71.58910531638176,25.755782022213058,-64.24421797778695,-0.900654392551987
5,814,1483,136,-39.98266954250763,6.416138786612726,71.58910531638176,25.755782022213058,-64.24421797778695,-0.900654392551987
5,821,1477,134,-39.98266954250763,6.416138786612726,71.58910531638176,25.755782022213058,-64.24421797778695,-0.900654392551987
5,835,1465,135,-39.98266954250763,6.416138786612726,71.58910531638176,25.755782022213058,-64.24421797778695,-0.900654392551987
6,727,1493,141,24.662877996815446,-5.987966693067767,95.85927185202274,90.1267654729607,0.12676547296069374,0.0022124730759849154
6,758,1506,140,24.662877996815446,-5.987966693067767,95.85927185202274,90.1267654729607,0.12676547296069374,0.0022124730759849154
6,780,1515,146,24.662877996815446,-5.987966693067767,95.85927185202274,90.1267654729607,0.12676547296069374,0.0022124730759849154
6,814,1533,151,24.662877996815446,-5.987966693067767,95.85927185202274,90.1267654729607,0.12676547296069374,0.0022124730759849154
7,844,1564,133,-55.56101960977188,0.9265793579112426,61.83849933496123,9.753103917264626,-80.24689608273538,-0.9855468833436755
7,856,1545,133,-55.56101960977188,0.9265793579112426,61.83849933496123,9.753103917264626,-80.24689608273538,-0.9855468833436755
7,867,1529,132,-55.56101960977188,0.9265793579112426,61.83849933496123,9.753103917264626,-80.24689608273538,-0.9855468833436755
7,879,1513,132,-55.56101960977188,0.9265793579112426,61.83849933496123,9.753103917264626,-80.24689608273538,-0.9855468833436755
8,790,1552,128,12.446839081254861,-4.554489275530498,88.15327560561774,77.9018374180582,-12.09816258194181,-0.20958720627045427
8,818,1562,128,12.446839081254861,-4.554489275530498,88.15327560561774,77.9018374180582,-12.09816258194181,-0.20958720627045427
8,844,1567,133,12.446839081254861,-4.554489275530498,88.15327560561774,77.9018374180582,-12.09816258194181,-0.20958720627045427
8,860,1571,134,12.446839081254861,-4.554489275530498,88.15327560561774,77.9018374180582,-12.09816258194181,-0.20958720627045427
8,876,1571,135,12.446839081254861,-4.554489275530498,88.15327560561774,77.9018374180582,-12.09816258194181,-0.20958720627045427
9,676,1689,157,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
9,699,1660,150,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
9,731,1618,140,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
9,774,1562,133,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
9,787,1549,128,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
9,810,1517,122,-52.13315903067753,9.244147677831617,217.87611158637839,15.16234806573463,-74.83765193426537,-0.9651885837675879
10,851,1625,139,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
10,847,1647,137,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
10,842,1668,135,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
10,839,1685,134,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
10,832,1709,131,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
10,828,1719,130,76.47815645025669,5.341439093387607,96.6798841538404,167.07350353863157,77.07350353863157,0.9746578478376999
11,579,1654,102,-32.27564431457763,-0.0,44.94441010848846,82.45156318077802,-7.54843681922197,-0.1313642950932311
11,541,1630,102,-32.27564431457763,-0.0,44.94441010848846,82.45156318077802,-7.54843681922197,-0.1313642950932311
12,626,1641,119,26.38112359433554,23.899498361898623,76.51797174520506,135.2423720567058,45.24237205670577,0.7100916419306276
12,598,1654,105,26.38112359433554,23.899498361898623,76.51797174520506,135.2423720567058,45.24237205670577,0.7100916419306276
12,579,1663,98,26.38112359433554,23.899498361898623,76.51797174520506,135.2423720567058,45.24237205670577,0.7100916419306276
12,557,1675,88,26.38112359433554,23.899498361898623,76.51797174520506,135.2423720567058,45.24237205670577,0.7100916419306276
13,656,1474,186,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
13,642,1503,182,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
13,619,1540,176,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
13,598,1576,167,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
13,580,1603,161,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
13,575,1612,154,59.71136587657305,11.550459879012653,159.8155186457185,165.96615034067682,75.96615034067682,0.9701526323986528
14,654,1500,189,46.79828082503595,-21.375218034383728,32.92415526630866,111.8522872147351,21.8522872147351,0.37221500215309017
14,676,1524,201,46.79828082503595,-21.375218034383728,32.92415526630866,111.8522872147351,21.8522872147351,0.37221500215309017
15,586,1601,169,57.85103873805518,-17.237524882626886,23.62202362203543,123.18980794537146,33.189807945371456,0.5474143670847827
15,598,1621,176,57.85103873805518,-17.237524882626886,23.62202362203543,123.18980794537146,33.189807945371456,0.5474143670847827
16,615,1784,164,15.317401725045483,28.39183071853693,37.8549864614954,124.63752907690022,34.637529076900215,0.5683827824276868
16,578,1794,146,15.317401725045483,28.39183071853693,37.8549864614954,124.63752907690022,34.637529076900215,0.5683827824276868
17,548,1795,139,-24.444303187077846,-10.430413211882318,38.66522985836241,90.42951904229201,0.42951904229201887,0.007496451273493509
17,513,1779,146,-24.444303187077846,-10.430413211882318,38.66522985836241,90.42951904229201,0.42951904229201887,0.007496451273493509
18,534,1694,193,-2.6298339607020207,13.262676008304844,21.79449471770337,63.0348288165749,-26.9651711834251,-0.45344879305511887
18,556,1693,188,-2.6298339607020207,13.262676008304844,21.79449471770337,63.0348288165749,-26.9651711834251,-0.45344879305511887
19,494,1748,201,-62.596606137154055,9.080906007809935,101.3755394560246,7.943077813137958,-82.05692218686204,-0.9904058456543814
19,519,1708,194,-62.596606137154055,9.080906007809935,101.3755394560246,7.943077813137958,-82.05692218686204,-0.9904058456543814
19,528,1689,191,-62.596606137154055,9.080906007809935,101.3755394560246,7.943077813137958,-82.05692218686204,-0.9904058456543814
19,541,1658,185,-62.596606137154055,9.080906007809935,101.3755394560246,7.943077813137958,-82.05692218686204,-0.9904058456543814
20,800,1787,182,-60.17286479379714,-16.057610901925557,79.5361553005927,56.20164732330327,-33.79835267669673,-0.5562717234568396
20,783,1759,192,-60.17286479379714,-16.057610901925557,79.5361553005927,56.20164732330327,-33.79835267669673,-0.5562717234568396
20,768,1731,202,-60.17286479379714,-16.057610901925557,79.5361553005927,56.20164732330327,-33.79835267669673,-0.5562717234568396
20,761,1718,204,-60.17286479379714,-16.057610901925557,79.5361553005927,56.20164732330327,-33.79835267669673,-0.5562717234568396
21,781,1770,190,10.598183984868017,-21.582490168997357,21.748563170931547,123.58561207366442,33.58561207366442,0.553182371374646
21,760,1774,198,10.598183984868017,-21.582490168997357,21.748563170931547,123.58561207366442,33.58561207366442,0.553182371374646
22,837,1521,153,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
22,840,1557,154,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
22,843,1587,155,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
22,848,1618,158,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
22,851,1642,159,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
22,857,1679,162,82.6269507098695,-3.2384223060285224,159.3172934743746,148.04566521816704,58.04566521816705,0.8484701768727124
23,849,1575,159,11.379433104370868,-56.98712499168181,20.273134932713294,81.40602934883708,-8.593970651162921,-0.14943129381536854
23,868,1579,176,11.379433104370868,-56.98712499168181,20.273134932713294,81.40602934883708,-8.593970651162921,-0.14943129381536854
24,946,1582,175,-47.10190703965553,-14.915125518319831,50.50742519669756,68.48890143645104,-21.511098563548963,-0.36668144775566575
24,912,1545,188,-47.10190703965553,-14.915125518319831,50.50742519669756,68.48890143645104,-21.511098563548963,-0.36668144775566575
25,936,1562,178,-67.63028900079358,12.009165157080115,43.255057507764334,10.302186614135504,-79.69781338586449,-0.983878213477946
25,953,1522,169,-67.63028900079358,12.009165157080115,43.255057507764334,10.302186614135504,-79.69781338586449,-0.983878213477946
26,732,1459,146,-39.36713356770601,-7.144377213282398,80.40522371090077,27.187851537394295,-62.812148462605705,-0.8895132720782498
26,794,1408,156,-39.36713356770601,-7.144377213282398,80.40522371090077,27.187851537394295,-62.812148462605705,-0.8895132720782498
27,762,1423,152,-80.59521865187149,-4.1908202460843365,27.367864366808018,33.61969679385583,-56.38030320614417,-0.8327309499225178
27,758,1396,154,-80.59521865187149,-4.1908202460843365,27.367864366808018,33.61969679385583,-56.38030320614417,-0.8327309499225178
28,934,1771,109,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
28,916,1681,129,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
28,905,1624,142,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
28,902,1604,146,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
28,895,1572,156,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
28,891,1543,164,-79.01407395933916,-13.698182686288975,232.25632391820895,38.127947996013134,-51.872052003986866,-0.7866339477875242
29,891,1581,147,-14.278289262997909,20.19916589942006,20.273134932713294,99.60978329267692,9.609783292676926,0.1669371037670081
29,871,1576,140,-14.278289262997909,20.19916589942006,20.273134932713294,99.60978329267692,9.609783292676926,0.1669371037670081
30,694,1775,128,-50.10817017322396,-0.32806571571411475,174.64821785520743,64.6340041208919,-25.3659958791081,-0.4283989429697473
30,678,1747,128,-50.10817017322396,-0.32806571571411475,174.64821785520743,64.6340041208919,-25.3659958791081,-0.4283989429697473
30,650,1721,133,-50.10817017322396,-0.32806571571411475,174.64821785520743,64.6340041208919,-25.3659958791081,-0.4283989429697473
30,613,1680,129,-50.10817017322396,-0.32806571571411475,174.64821785520743,64.6340041208919,-25.3659958791081,-0.4283989429697473
30,582,1641,129,-50.10817017322396,-0.32806571571411475,174.64821785520743,64.6340041208919,-25.3659958791081,-0.4283989429697473
31,645,1728,132,20.4549380240826,0.9101832992743809,62.95236294214857,135.11150147074838,45.11150147074837,0.7084815190758141
31,616,1740,131,20.4549380240826,0.9101832992743809,62.95236294214857,135.11150147074838,45.11150147074837,0.7084815190758141
31,586,1750,131,20.4549380240826,0.9101832992743809,62.95236294214857,135.11150147074838,45.11150147074837,0.7084815190758141
32,901,1514,134,-28.658283516911073,34.44841608995591,81.32035415564789,44.70858438347456,-45.29141561652544,-0.7106940792524258
32,949,1489,106,-28.658283516911073,34.44841608995591,81.32035415564789,44.70858438347456,-45.29141561652544,-0.7106940792524258
32,973,1475,88,-28.658283516911073,34.44841608995591,81.32035415564789,44.70858438347456,-45.29141561652544,-0.7106940792524258
33,949,1497,111,23.84026443060526,-16.3791148839902,106.38608931622592,89.63209167282648,-0.36790832717352057,-0.006421167528250616
33,1017,1529,129,23.84026443060526,-16.3791148839902,106.38608931622592,89.63209167282648,-0.36790832717352057,-0.006421167528250616
33,1033,1537,132,23.84026443060526,-16.3791148839902,106.38608931622592,89.63209167282648,-0.36790832717352057,-0.006421167528250616
33,1046,1540,141,23.84026443060526,-16.3791148839902,106.38608931622592,89.63209167282648,-0.36790832717352057,-0.006421167528250616
34,998,1513,120,-32.81581500370297,32.81581500370297,31.368774282716245,41.250850859452854,-48.749149140547146,-0.7518300159136271
34,1025,1496,103,-32.81581500370297,32.81581500370297,31.368774282716245,41.250850859452854,-48.749149140547146,-0.7518300159136271
35,759,1476,139,41.509247564510964,19.92794924011163,52.81098370604357,105.05246563931777,15.052465639317768,0.2597034329610536
35,799,1511,121,41.509247564510964,19.92794924011163,52.81098370604357,105.05246563931777,15.052465639317768,0.2597034329610536
36,784,1489,126,-20.53903916120245,37.301259424444865,31.352830813181765,51.70009778455965,-38.29990221544035,-0.6197776924458166
36,814,1478,107,-20.53903916120245,37.301259424444865,31.352830813181765,51.70009778455965,-38.29990221544035,-0.6197776924458166
